ID,Target
31185,69
49365,109
37845,84
64350,139
34740,77
45000,100
44415,98
12690,28
10215,21
40095,89
52695,117
57330,127
59265,131
62280,138
47025,104
27900,62
32130,84
58095,129
28485,55
4635,10
41265,91
16785,37
42795,95
33255,73
18675,41
13410,18
36810,81
25560,61
47295,105
41400,92
59715,132
32445,72
1530,3
28395,63
19350,43
64485,143
60525,131
23400,52
8190,18
18630,41
10530,23
56790,126
16155,35
25695,58
54270,120
43470,96
17280,36
47250,105
36000,80
180,0
855,1
36495,81
12285,27
63315,140
66915,90
13590,30
35955,79
55215,121
21195,47
4410,10
46890,104
30915,68
35730,79
51525,114
67500,150
9495,16
47205,104
15300,34
63990,142
43740,97
16200,36
57825,134
2025,4
59130,131
1620,3
9720,21
57150,127
60435,134
66060,146
29835,66
16020,35
67140,149
20565,45
5670,2
51705,114
48330,107
47565,105
1935,4
24525,54
65070,144
37980,84
7875,17
48960,66
7740,17
49500,110
37575,83
27855,52
45270,100
31635,64
58770,130
18270,40
20070,44
19395,43
51885,115
21600,59
28170,123
32355,71
54090,126
22365,1
57510,115
49185,109
66195,146
42930,95
26910,53
68310,150
43065,95
26955,60
6840,15
27045,62
30600,68
9900,22
46350,105
52155,115
38880,78
49455,109
26595,145
50625,118
7065,15
59310,131
4320,9
44955,99
46935,80
67050,146
13860,30
32985,73
2340,5
51660,114
60210,133
40185,89
25785,57
57870,129
3150,7
22140,49
61695,137
64530,143
54900,122
25155,55
4950,11
43110,95
20205,44
65160,104
18765,41
68265,88
13185,18
35550,79
47970,106
31770,74
39735,88
42480,94
22455,49
61470,136
46440,99
52650,117
36315,80
40905,90
990,2
65565,145
20790,46
62775,139
18045,40
50985,113
38475,85
44235,98
34830,77
10935,24
1980,4
48195,107
7290,16
20520,37
64980,147
27315,50
34965,77
16650,37
33750,75
59085,131
26415,60
26055,57
63765,141
40950,89
18585,41
3735,8
11970,20
21915,53
27675,125
16065,35
5310,51
39195,87
44820,99
57195,127
8820,19
68085,151
49635,110
51120,58
61065,131
41490,92
32940,73
900,2
66690,149
13815,30
45405,100
12420,27
720,1
9045,20
30330,67
64440,143
22275,49
65745,146
14670,37
3375,7
57285,127
5490,13
26550,61
40995,91
49725,110
25830,57
47160,104
8460,18
9540,16
40590,139
31365,77
56475,113
2610,5
62055,137
38430,85
16830,37
18225,40
31950,71
9765,21
41625,92
41850,93
52425,61
60120,133
68040,149
21330,47
12330,27
8910,19
7110,15
66330,147
1035,12
52740,117
45540,101
43605,96
15525,34
49815,110
61380,136
4995,11
9270,20
54810,116
48555,107
59490,132
47610,105
9675,16
33120,73
20430,45
10575,23
1215,13
39780,94
19800,44
6345,14
17640,34
50895,116
6750,15
8550,19
23985,53
48060,106
46170,103
66375,146
68175,144
41670,92
7380,16
40410,89
44100,104
37170,82
45090,82
8325,18
44190,103
64800,144
31050,69
10125,22
3645,8
1755,3
44325,33
32265,71
40500,90
55980,124
64935,150
30195,67
40050,95
45945,96
10440,23
12195,27
29070,76
62910,143
18180,40
35010,77
42255,93
60660,135
25110,55
13950,31
29430,65
17955,39
43290,104
40770,90
33795,75
40725,90
19170,42
1665,3
7650,17
42165,93
53505,119
67275,126
23445,60
13905,30
63270,140
12825,28
22185,49
48645,108
26370,116
38340,85
54945,122
33885,75
49950,111
53235,118
13455,18
22005,51
30150,67
64305,142
55935,124
11250,25
36675,81
14310,31
51255,116
13095,18
12060,20
12780,28
65475,146
59985,133
36450,111
10755,23
50850,113
32085,71
23310,51
55530,123
38790,86
65880,147
64395,143
